"Date"	"Dh(cm)"
"20/03/2012 22:51"	0
"01/04/2012 02:22"	-0.02
"08/04/2012 19:59"	-0.06
"17/04/2012 05:59"	-0.1
"29/04/2012 12:48"	-0.15
"16/05/2012 03:20"	-0.17
"25/05/2012 11:11"	-0.16
"03/06/2012 19:01"	-0.12
"10/06/2012 20:16"	-0.05
"16/06/2012 07:17"	-0.02
"24/06/2012 22:45"	-0.02
"29/06/2012 17:24"	-0.06
"04/07/2012 17:30"	-0.17
"10/07/2012 09:59"	-0.28
"13/07/2012 03:30"	-0.31
"17/07/2012 11:14"	-0.33
"08/08/2012 10:52"	-0.02
"16/08/2012 12:22"	-0.25
"30/08/2012 11:00"	0
"01/06/2017 00:00"	0
"13/06/2017 11:10"	-0.18
"04/07/2017 13:00"	-0.09
"24/07/2017 11:00"	0
"18/09/2018 07:49"	0
"23/10/2018 07:52"	-0.29
"21/11/2018 09:20"	0
"29/04/2019 08:33"	0
"18/06/2019 08:40"	-0.15
"09/07/2019 07:59"	-0.3
"03/09/2019 08:05"	-0.42
"08/10/2019 09:25"	-0.5
"06/11/2019 09:30"	0
"30/04/2020 00:00"	0
"12/05/2020 07:50"	-0.2
"16/06/2020 08:15"	-0.29
"29/06/2020 08:05"	-0.23
"21/07/2020 09:50"	-0.35
"29/07/2020 12:05"	-0.34
"06/08/2020 12:20"	-0.43
"25/08/2020 08:20"	-0.5
"29/09/2020 08:00"	-0.32
"04/11/2020 09:15"	-0.14
"16/12/2020 10:00"	-0.13
"20/01/2021 09:00"	-0.13
"03/02/2021 10:15"	0
"01/05/2021 00:00"	0
"01/06/2021 08:15"	-0.26
"06/07/2021 07:40"	-0.48
"12/08/2021 08:47"	-0.22
"25/08/2021 08:16"	-0.11
"23/09/2021 07:55"	-0.26
"07/10/2021 08:00"	-0.16
"23/11/2021 13:36"	-0.14
"13/01/2022 11:38"	0
"10/02/2022 00:00"	0
"02/03/2022 13:05"	-0.08
"20/04/2022 13:00"	-0.35
"22/06/2022 00:00"	-0.35
"23/06/2022 00:00"	-1
"01/08/2022 10:00"	-0.11
"08/09/2022 10:00"	0
